<MarkerSet>

<Name>
All
</Name>

<Markers>
Skeleton:Hip1
Skeleton:Hip2
Skeleton:Hip3
Skeleton:Hip4
Skeleton:Chest1
Skeleton:Chest3
Skeleton:Chest2
Skeleton:Head3
Skeleton:Head2
Skeleton:Head1
Skeleton:LUArm1
Skeleton:LUArm2
Skeleton:LUArm3
Skeleton:LHand1
Skeleton:LHand3
Skeleton:LHand2
Skeleton:RUArm1
Skeleton:RUArm2
Skeleton:RUArm3
Skeleton:RHand1
Skeleton:RHand3
Skeleton:RHand2
Skeleton:LThigh2
Skeleton:LThigh1
Skeleton:LShin2
Skeleton:LShin1
Skeleton:LFoot2
Skeleton:LFoot1
Skeleton:RThigh2
Skeleton:RThigh1
Skeleton:RShin2
Skeleton:RShin1
Skeleton:RFoot1
Skeleton:RFoot2
</Markers>

<Data>
Frame#	M0X	M0Y	M0Z	M1X	M1Y	M1Z	M2X	M2Y	M2Z	M3X	M3Y	M3Z	M4X	M4Y	M4Z	M5X	M5Y	M5Z	M6X	M6Y	M6Z	M7X	M7Y	M7Z	M8X	M8Y	M8Z	M9X	M9Y	M9Z	M10X	M10Y	M10Z	M11X	M11Y	M11Z	M12X	M12Y	M12Z	M13X	M13Y	M13Z	M14X	M14Y	M14Z	M15X	M15Y	M15Z	M16X	M16Y	M16Z	M17X	M17Y	M17Z	M18X	M18Y	M18Z	M19X	M19Y	M19Z	M20X	M20Y	M20Z	M21X	M21Y	M21Z	M22X	M22Y	M22Z	M23X	M23Y	M23Z	M24X	M24Y	M24Z	M25X	M25Y	M25Z	M26X	M26Y	M26Z	M27X	M27Y	M27Z	M28X	M28Y	M28Z	M29X	M29Y	M29Z	M30X	M30Y	M30Z	M31X	M31Y	M31Z	M32X	M32Y	M32Z	M33X	M33Y	M33Z	
569	-619.72137	982.09656	19.01166	-306.10760	977.75366	200.33508	-371.10953	940.36230	-30.17157	-437.69733	976.81049	265.82642	-502.40695	1457.46606	146.81311	-429.37189	1337.97461	250.40132	-587.11292	1348.61072	98.88596	-173.27155	1627.90295	-6.12080	-298.79889	1648.94482	127.52708	-407.04633	1666.42725	-50.54957	-406.96161	1209.16492	-201.15421	-518.78296	1261.89453	-115.16657	-506.12509	1390.03857	-137.20259	-269.08075	1526.71692	-209.16595	-285.50354	1449.72437	-214.06320	-370.72360	1482.96631	-143.45499	-88.44156	1229.29956	248.69197	-201.71414	1308.79700	266.94412	-178.23314	1390.50598	187.35229	-73.84957	1465.58374	18.86284	-160.10629	1440.00659	112.98762	-65.23596	1414.10815	56.09189	-682.28357	487.94238	-56.10165	-568.46863	639.11987	-94.21468	-835.55225	123.25865	100.44533	-726.88983	248.31467	6.24471	-745.44257	56.29980	-6.02822	-841.61285	42.63263	14.12111	-165.73752	509.26996	167.45758	-191.96712	608.99744	71.37428	-140.42770	92.16686	263.29041	-146.84691	301.83096	131.74440	-35.57025	44.53301	126.11719	-16.93684	26.14884	224.24501
570	-622.28778	981.58698	17.29699	-309.67722	978.45636	200.12198	-373.62137	941.20398	-30.57955	-441.46545	976.34692	264.77762	-509.15140	1457.47412	144.09975	-436.30362	1338.78467	249.60211	-592.17303	1348.22620	95.43732	-178.74640	1628.85962	-5.13126	-305.33298	1649.75305	127.05412	-412.27524	1666.40283	-52.01911	-406.25043	1205.57935	-197.44608	-520.73523	1259.86365	-115.42159	-508.11636	1387.77417	-139.43048	-260.10358	1520.17053	-206.89554	-277.26279	1442.90076	-210.86984	-368.42767	1479.85938	-149.21912	-93.70499	1231.61938	245.06201	-206.48988	1310.83875	265.09131	-183.93280	1393.13025	185.44444	-79.00586	1467.21851	14.29606	-164.48244	1443.79773	109.98965	-71.34421	1415.95789	51.88059	-683.54352	487.46881	-55.53263	-571.20807	638.11871	-94.69327	-836.91608	122.56950	100.36576	-727.99890	247.41930	6.77862	-745.44971	56.25434	-5.58466	-842.65234	42.13222	13.94697	-165.59584	510.59241	164.70370	-193.31721	610.30090	69.38941	-140.97371	93.83005	261.96396	-146.58295	303.35883	129.93300	-35.38741	44.53500	125.92502	-17.51936	26.85132	223.81290
571	-624.56500	981.08356	15.92308	-312.98618	979.00604	200.27446	-375.29633	941.73578	-30.74361	-444.72409	976.09839	264.45120	-515.46674	1457.45251	141.89165	-443.14282	1339.70874	248.99792	-597.54730	1347.83423	92.36481	-183.97647	1629.31287	-4.54779	-312.06622	1650.78503	126.49111	-417.89172	1666.37915	-53.22639	-406.30341	1202.07410	-193.64473	-523.73376	1258.01379	-116.12493	-510.19968	1385.44299	-141.30188	-251.88321	1512.89063	-204.86430	-269.84546	1435.51953	-206.58403	-363.22101	1475.62073	-153.02972	-100.07019	1233.51697	242.27928	-212.28967	1313.26843	263.69818	-191.15239	1395.51392	184.23872	-83.01607	1467.79944	9.60305	-167.91058	1446.99060	106.82932	-75.21561	1416.91602	47.74723	-685.99561	487.15164	-54.33097	-573.71875	637.90051	-95.41840	-837.81183	121.36626	100.44193	-729.45856	246.64949	7.57621	-745.43726	56.32945	-5.03706	-843.39984	41.47350	13.83947	-164.81920	512.63043	161.80560	-194.00279	612.16199	67.07900	-141.40059	96.21140	260.65121	-145.63780	305.02454	127.64102	-35.53555	44.55920	125.45784	-17.88960	27.95559	223.22647
572	-627.03253	980.55334	13.90082	-316.43848	979.46191	200.33803	-377.65363	942.17804	-30.87601	-448.22433	975.76697	263.79697	-522.02057	1457.04504	139.67374	-449.92389	1340.55994	247.79761	-603.02393	1347.73840	89.16972	-189.67213	1630.20752	-4.12981	-319.20932	1651.70679	126.12177	-424.04868	1666.22607	-54.32645	-408.24835	1198.94861	-190.43056	-525.98572	1255.05017	-119.93646	-512.88080	1383.22900	-142.96182	-246.50999	1503.94031	-202.02693	-264.03409	1427.32996	-202.82921	-358.38058	1471.61060	-154.28604	-107.26880	1235.92786	240.83585	-218.56018	1315.76160	262.57581	-198.11766	1397.67529	183.03719	-85.19575	1467.22485	5.97808	-171.30525	1449.03430	103.47481	-78.51898	1416.82007	44.94953	-688.24768	486.49124	-53.01412	-575.79211	637.54828	-95.75611	-838.69110	120.41444	100.61944	-731.04816	245.80647	7.91856	-745.66388	56.19429	-4.66338	-844.37891	40.51217	13.73052	-163.33788	514.81995	158.44945	-193.68886	614.50342	64.34437	-142.04324	98.41311	258.42014	-144.01352	307.23712	124.75946	-35.25419	44.58940	124.89748	-18.95362	28.30768	222.31776
573	-628.99164	980.06628	12.10748	-319.78143	979.80865	200.61079	-379.42453	942.81299	-30.96610	-452.38498	975.23358	263.19073	-528.54462	1456.07251	135.80354	-456.26266	1341.30164	246.42102	-608.77246	1347.66638	86.17616	-195.26636	1630.80176	-3.81583	-326.28784	1652.14783	125.20327	-429.27066	1666.08826	-56.29697	-412.31265	1195.72742	-187.46782	-529.67432	1252.87122	-120.35837	-516.00568	1381.05151	-143.87044	-236.72627	1494.77600	-198.90230	-259.62991	1419.64172	-198.70763	-355.03198	1467.35242	-153.65491	-114.87802	1238.07251	241.01263	-225.50583	1317.98132	262.29541	-205.45900	1399.57214	182.09579	-86.22929	1465.49646	2.92422	-174.16248	1450.11707	99.59416	-81.00433	1415.60901	42.85586	-690.83429	485.85248	-51.19231	-579.03186	636.88318	-95.93129	-839.76465	119.18909	100.80630	-732.34796	245.05603	8.54862	-745.84064	56.04393	-4.43510	-845.01477	39.79926	13.77767	-160.83128	517.39520	154.85741	-192.64171	617.54218	61.47213	-141.87273	101.38309	256.37628	-142.17206	309.62701	122.06262	-35.33549	44.73938	124.16136	-20.03805	29.50408	221.25740
574	-631.02698	979.38916	10.96483	-323.19833	980.20013	201.02669	-380.95224	943.00909	-30.70599	-455.54971	974.52728	262.43201	-534.52112	1455.99536	133.53252	-462.96399	1341.99927	245.31407	-614.43311	1347.38977	83.58404	-200.03975	1630.51978	-3.39825	-332.55096	1652.84253	123.98583	-434.77115	1665.93408	-58.21919	-414.53906	1193.41931	-185.31984	-534.36005	1250.91040	-119.83968	-519.75757	1379.08716	-145.10867	-233.33881	1486.81311	-196.89198	-258.19742	1412.33801	-195.99561	-353.04044	1463.57178	-153.12279	-123.31946	1240.41101	242.77267	-233.31767	1320.10156	262.53644	-212.79701	1401.18921	182.29205	-84.43986	1461.84009	4.13665	-175.33249	1450.23584	97.92696	-82.06177	1413.17139	42.57472	-692.88031	485.63113	-49.97285	-580.95343	636.55145	-95.44245	-843.32172	128.45784	93.93042	-733.41553	244.65169	8.92604	-746.40979	55.80212	-4.12345	-845.63165	39.23802	13.72890	-157.85977	520.38062	150.76700	-191.05634	620.95441	58.60078	-142.15686	104.41282	254.05600	-139.45647	312.39828	119.07736	-34.99827	44.87805	123.01731	-20.32942	30.78629	220.10786
575	-632.62811	978.96375	9.40859	-326.46408	980.71918	201.38959	-382.80508	943.25262	-30.58777	-459.10620	973.81995	261.94080	-540.52344	1455.58936	131.11076	-469.37451	1342.50000	244.12091	-620.26996	1347.15747	81.69336	-206.13699	1630.78748	-3.92216	-339.48492	1653.19727	122.69414	-440.22803	1665.89111	-60.29771	-419.89456	1190.71729	-183.87633	-539.91266	1249.27124	-119.64066	-524.12665	1377.14209	-145.89467	-232.46606	1480.58594	-195.72379	-258.97382	1406.65356	-195.52136	-352.42056	1459.70093	-151.17941	-131.90076	1242.62476	246.44302	-241.50296	1322.04932	263.86279	-219.94090	1402.42651	183.09378	-82.19444	1458.38989	3.14436	-180.12718	1449.00598	91.72958	-83.53399	1409.49988	44.12423	-694.84570	485.19675	-48.67297	-583.54041	635.78552	-94.87247	-843.93701	128.09015	93.88757	-735.11633	243.84409	9.79652	-746.89856	55.43684	-3.71324	-846.48651	38.80316	13.83061	-154.86794	523.71063	146.61078	-188.86598	624.96576	55.43087	-141.47090	108.16267	251.52788	-136.63347	315.60535	115.47574	-35.05131	44.90731	121.94685	-18.45284	36.97956	215.93481
576	-634.56915	978.35693	7.91874	-329.60574	980.90253	201.90094	-383.97607	943.32269	-30.48744	-462.45917	973.07092	261.58533	-546.44324	1455.08228	129.55775	-475.05957	1342.63306	242.59360	-625.30701	1346.58008	79.89651	-211.37762	1630.93530	-4.91618	-346.19226	1653.48450	121.67553	-445.83463	1665.88599	-61.83203	-428.12515	1187.56921	-183.29356	-544.86987	1247.81543	-118.65983	-529.41882	1375.01648	-146.63992	-236.11256	1474.89148	-196.73595	-261.84421	1402.60010	-197.19196	-352.94498	1456.69080	-149.01895	-140.54568	1244.69836	251.75273	-249.65031	1324.14880	266.09964	-226.52753	1403.94275	184.76485	-80.46127	1453.58142	5.64795	-182.65620	1446.47876	88.99201	-83.17439	1405.56506	47.48141	-696.87036	484.61353	-47.00087	-585.41431	634.86237	-94.16048	-844.36011	127.22350	93.64486	-736.67548	242.92755	10.81996	-747.23407	55.64121	-3.26613	-847.21069	38.13677	13.57745	-150.88000	527.44788	142.60637	-186.44435	629.39148	52.20873	-140.58656	112.17973	248.69041	-133.59683	319.35654	111.75880	-35.21135	44.80803	120.75325	-26.92405	31.09918	219.80827
577	-636.00470	977.73871	6.75889	-332.22385	981.26868	202.51178	-385.32690	943.43848	-30.47936	-465.87613	972.07397	260.78391	-551.62238	1454.70203	127.74368	-481.17264	1342.93872	241.19260	-626.54108	1342.14795	80.82792	-216.65674	1630.53650	-5.92429	-351.72751	1653.42725	119.46049	-451.02405	1665.64795	-64.39377	-434.01401	1185.73828	-183.92053	-551.09595	1245.91663	-119.15858	-535.29132	1373.04333	-147.37152	-239.57445	1471.96069	-197.76938	-266.36194	1399.96179	-199.07227	-354.70557	1452.97815	-146.27773	-148.68175	1246.48584	258.52997	-258.25534	1326.01807	269.05975	-232.85878	1405.19751	188.11041	-77.52630	1448.48926	10.16074	-183.85706	1442.99133	87.85595	-82.59208	1401.23669	53.69538	-698.41650	484.50052	-45.56240	-586.77820	633.90082	-93.32770	-845.19470	126.55222	94.16490	-737.58173	242.47699	11.59350	-747.42670	55.63517	-2.81374	-847.88745	37.34773	13.38726	-146.96725	531.69305	138.75732	-183.48499	634.17163	49.03876	-139.80191	116.49525	245.86644	-129.99821	323.25290	108.34654	-34.72458	45.30235	119.35991	-27.53895	32.75134	217.92180
578	-637.18262	976.94598	5.23003	-334.90659	981.61548	202.89293	-386.56409	943.45361	-30.31376	-468.46390	971.31708	260.26224	-556.20599	1454.17200	126.19774	-486.11523	1342.80359	239.49161	-630.99536	1340.85620	80.29171	-222.22502	1629.73730	-6.90917	-351.85751	1654.75830	113.29492	-455.51685	1665.85938	-66.76057	-440.10519	1184.37793	-185.63165	-558.87396	1245.23291	-115.77155	-542.26508	1371.20349	-147.96561	-243.96548	1469.80310	-198.92278	-271.47998	1397.76489	-201.58652	-356.59430	1449.52771	-144.96149	-156.42308	1248.10034	267.43954	-266.51056	1327.96484	272.76239	-238.61282	1406.40442	191.78271	-74.50070	1442.85962	17.15701	-184.94473	1439.67358	88.47979	-82.22534	1396.89795	61.28538	-699.42932	483.85260	-44.47247	-587.30688	632.96796	-92.60706	-845.95807	125.98550	94.52185	-738.97845	241.69489	12.70796	-747.67914	55.61830	-2.54370	-853.80615	32.71495	15.27906	-142.72151	536.19940	134.38503	-180.18373	639.40564	45.60472	-137.99243	121.20134	243.23372	-126.25710	327.55865	104.76282	-34.60057	45.65670	117.96468	-28.02450	34.22392	216.08194
